race,gender,birth_year_in_5_year_units,avg_unit_allegations_per_officer_per_year,sd_unit_allegations_per_officer_per_year
White,F,1940,0.21127957487980528,0.2684735305760661
White,F,1945,0.20995807296832913,0.26568932165955705
White,F,1945,0.1595359594525453,0.26556939886449077
White,F,1945,0.1482181578416049,0.2001747405208535
White,F,1945,0.1779458851715104,0.23741244277837004
White,F,1945,0.19798363959664636,0.30438847463483626
White,F,1950,0.19283073164745312,0.24454275264651337
White,F,1950,0.18656004377453317,0.2274534192201832
White,F,1950,0.2569448688226198,0.27024311755479224
White,F,1950,0.30587989111987507,0.312764668906514
White,F,1950,0.27210890510552327,0.25285357746622994
White,F,1955,0.3228477217383911,0.32106006604335086
White,F,1955,0.31054167259064797,0.2562281373425038
White,F,1955,0.3423773597166003,0.38466120150950545
White,F,1955,0.22381670473103968,0.2186909276177722
White,F,1955,0.36965881753045426,0.37404662644228204
White,F,1960,0.4037188630615817,0.3664841752303352
White,F,1960,0.38053437512281985,0.33341409303793745
White,F,1960,0.5415288036787415,0.7968948732591187
White,F,1960,0.23504409595002054,0.2986989640641398
White,F,1960,0.4744478886283059,0.737084607011645
White,F,1965,0.3427954490617238,0.3531190760598619
White,F,1965,0.3503795721187026,0.5514198619329789
White,F,1965,0.5230741480741481,0.4200966974166169
White,F,1965,0.6533333333333333,0.908784291726529
White,F,1965,1.2972436665800506,1.3878206209919286
White,F,1970,0.49434758820571967,0.4612471010686538
White,F,1970,0.4222222222222223,0.44493029000390943
White,F,1970,0.3129960317460318,0.31632049842264126
White,F,1970,0.4211309523809524,0.7382245683757007
White,F,1970,0.3836339586339587,0.444494339831282
White,F,1975,0.9247863247863247,0.6703697286482145
White,F,1975,0,0
White,F,1975,0.1111111111111111,0.19245008972987526
White,F,1975,0.33779461279461276,0.4232090438620758
White,F,1975,0.1111111111111111,0.19245008972987526
White,F,1980,0.2186013986013986,0.2586597868329473
White,F,1980,0.23333333333333334,0.43461349368017654
White,F,1980,0.2,0.28284271247461906
White,F,1980,0,
White,F,1985,0.2,
White,F,1985,0,0
White,F,1985,0,
White,F,1985,0,
White,F,1985,0,
White,F,1990,0,
White,F,1990,0,
White,F,1990,0,
White,M,1915,0,0
White,M,1915,0,0
White,M,1915,0,0
White,M,1915,0,0
White,M,1920,0.0012074344987189024,0.006279908373611208
White,M,1920,0.0011657884946278672,0.006964821696959243
White,M,1920,0.0008151646544503687,0.005623270915675603
White,M,1920,0.0008806060723922019,0.007830038667945821
White,M,1920,0.001637919103536146,0.00787301150881926
White,M,1925,0.0016207807884501943,0.01383531620850673
White,M,1925,0.002094911928490095,0.009586911049461844
White,M,1925,0.0018699408631513243,0.008416426107239578
White,M,1925,0.0027703674898015814,0.010754017422525531
White,M,1925,0.0062188774477439845,0.02321143092315278
White,M,1930,0.0075672784449532845,0.03509608377560133
White,M,1930,0.010630414699687276,0.031462496533467936
White,M,1930,0.017171104756505323,0.0460121918157279
White,M,1930,0.0137101125407514,0.03324453547631403
White,M,1930,0.030080577196227698,0.13571207423930526
White,M,1935,0.01850649265447382,0.041752132470304744
White,M,1935,0.03989294148013787,0.11367944031412397
White,M,1935,0.04718129442138398,0.07643199607999213
White,M,1935,0.06152658833989735,0.09970512184096263
White,M,1935,0.06851631887376364,0.11510279230406488
White,M,1940,0.07767085199537689,0.14689181351455416
White,M,1940,0.10199839634828357,0.13588184127184091
White,M,1940,0.10077902067254463,0.16390088084449939
White,M,1940,0.13463853844540372,0.27234427838979547
White,M,1940,0.12012728437828568,0.24405544025182177
White,M,1945,0.13587570445092245,0.23911294624548543
White,M,1945,0.15306128260517282,0.21298396657411647
White,M,1945,0.1707780573769405,0.2729139452650593
White,M,1945,0.17662443421948265,0.32468227391268895
White,M,1945,0.2053352921786113,0.31409065786141654
White,M,1950,0.22794674082961464,0.3030491527795104
White,M,1950,0.2672592103486897,0.3766026636497886
White,M,1950,0.3797649155766907,0.48649484927915826
White,M,1950,0.39529448933753786,0.5079508272115145
White,M,1950,0.43899200371450386,0.45880312092129805
White,M,1955,0.40500202603338253,0.3402004942535497
White,M,1955,0.7874024976700174,0.7108458611285378
White,M,1955,0.6711967330226216,0.5952854832931637
White,M,1955,0.572729601379386,0.5476543697728804
White,M,1955,0.61238465072277,0.5310217773809506
White,M,1960,0.735493865178984,0.7642576025923081
White,M,1960,0.7039637321542694,0.6725194530794216
White,M,1960,0.717262566377961,0.5730669517550181
White,M,1960,0.9814002740357081,1.3205192460723103
White,M,1960,0.8371016650864326,0.7045142057449015
White,M,1965,0.9267837175184527,0.8250067560470784
White,M,1965,1.0654226818365775,1.1188866799868045
White,M,1965,0.9869945518831161,0.8996491165573245
White,M,1965,1.0952579032330163,1.0224914645933985
White,M,1965,1.0957515973996705,0.8691125837870123
White,M,1970,1.0380040004925946,1.194621732380421
White,M,1970,1.0400562190334914,1.148126056261918
White,M,1970,1.0918221439054774,1.3680832506728011
White,M,1970,1.361431840728716,1.0357753579568385
White,M,1970,0.8552919736513485,0.894830259860261
White,M,1975,1.089865551115551,0.9771447463824885
White,M,1975,0.9036815406815406,0.8956360735166223
White,M,1975,1.0138306138306137,2.0494045460118016
White,M,1975,0.822331141081141,0.9312941532219269
White,M,1975,1.071340023612751,0.9436336875229131
White,M,1980,0.7996289424860853,0.6615624163967231
White,M,1980,0.6862511671335201,0.45425777960306823
White,M,1980,0.5864021164021164,0.9223504164390817
White,M,1980,0.6446969696969697,0.6305230712942576
White,M,1980,0.6246753246753246,0.6285743801583593
White,M,1985,0.2261904761904762,0.30699516567208635
White,M,1985,0.18055555555555555,0.309195491318764
White,M,1985,0.13333333333333333,0.29814239699997197
White,M,1985,0.2,0.29814239699997197
White,M,1985,0.2,0.4472135954999579
White,M,1990,0.25,0.5
White,M,1990,0,0
White,M,1990,0,0
White,M,1990,0,0
White,M,1990,0,0
White,M,1995,0,0
White,M,1995,0,0
White Hispanic,F,1985,0,
White Hispanic,F,1990,0,
White Hispanic,F,1995,0,
White Hispanic,M,1985,0,
White Hispanic,M,1985,0,
White Hispanic,M,1985,0,0
White Hispanic,M,1990,0,0
White Hispanic,M,1990,0,
White Hispanic,M,1995,0,
